timestamp,level,symbol,stage,message
2026-08-20 15:57:19,ERROR,TATAMOTORS,SCAN,"No data returned (symbol may be invalid, delisted, or a network issue occurred)."
2026-08-20 15:57:22,INFO,SYSTEM,SCAN,"Scan complete: 50 stocks checked, 11 matched, 1 error(s)."
2026-08-20 15:57:22,SUCCESS,RELIANCE,SIGNAL,"Signal generated (fibonacci, long) — entry 1272.82, stop 1251.95, T1 1283.26, T2 1293.70"
2026-08-20 15:57:22,SUCCESS,INFY,SIGNAL,"Signal generated (fibonacci, short) — entry 1148.90, stop 1253.06, T1 1096.81, T2 1044.73"
2026-08-20 15:57:22,SUCCESS,AXISBANK,SIGNAL,"Signal generated (fibonacci, short) — entry 1325.46, stop 1391.32, T1 1292.53, T2 1259.60"
2026-08-20 15:57:22,SUCCESS,ONGC,SIGNAL,"Signal generated (fibonacci, long) — entry 274.75, stop 274.48, T1 274.89, T2 275.02"
2026-08-20 15:57:22,SUCCESS,JSWSTEEL,SIGNAL,"Signal generated (fibonacci, long) — entry 1238.69, stop 1237.45, T1 1239.30, T2 1239.92"
2026-08-20 15:57:22,SUCCESS,BRITANNIA,SIGNAL,"Signal generated (fibonacci, short) — entry 5217.25, stop 5386.27, T1 5132.74, T2 5048.23"
2026-08-20 15:57:22,SUCCESS,DIVISLAB,SIGNAL,"Signal generated (fibonacci, short) — entry 6939.38, stop 6946.32, T1 6935.91, T2 6932.44"
2026-08-20 15:57:22,SUCCESS,TATACONSUM,SIGNAL,"Signal generated (fibonacci, long) — entry 1065.10, stop 1064.03, T1 1065.63, T2 1066.17"
2026-08-20 15:57:22,SUCCESS,HDFCLIFE,SIGNAL,"Signal generated (fibonacci, long) — entry 587.20, stop 575.77, T1 592.91, T2 598.63"
2026-08-20 15:57:22,SUCCESS,UPL,SIGNAL,"Signal generated (fibonacci, long) — entry 592.34, stop 557.19, T1 609.92, T2 627.49"
2026-08-20 16:02:01,ERROR,TATAMOTORS,SCAN,"No data returned (symbol may be invalid, delisted, or a network issue occurred)."
2026-08-20 16:02:04,INFO,SYSTEM,SCAN,"Scan complete: 50 stocks checked, 12 matched, 1 error(s)."
